"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h108",151.3088475,-32.82224622,0.13,2,6,45,7.55
"h108",151.3088475,-32.82224622,0.57,2,6,57,7.82
"h108",151.3088475,-32.82224622,0.94,2,6,57,7.87
"h109",151.3092779,-32.82208068,0.1,2,6,45,6.73
"h109",151.3092779,-32.82208068,0.48,2,6,57,6.25
"h109",151.3092779,-32.82208068,0.85,2,6,49,6.18
"h110",151.3161265,-32.82255181,0.17,2,6,40,7
"h110",151.3161265,-32.82255181,0.37,2,6,49,6.78
"h110",151.3161265,-32.82255181,0.55,2,6,49,6.65
"h110",151.3161265,-32.82255181,0.85,2,6,45,6.56
"h111",151.3108335,-32.82172288,0.02,2,6,34,6.9
"h111",151.3108335,-32.82172288,0.13,2,6,45,7.25
"h111",151.3108335,-32.82172288,0.41,2,6,49,6.64
"h111",151.3108335,-32.82172288,0.8,2,6,45,5.96
"h112",151.3117401,-32.81953448,0.07,2,6,45,7.05
"h112",151.3117401,-32.81953448,0.27,2,6,49,7.44
"h112",151.3117401,-32.81953448,0.6,2,6,45,7.77
"h112",151.3117401,-32.81953448,0.9,2,6,49,7.28
"h113",151.3166245,-32.82502972,0.03,2,6,14,7.52
"h113",151.3166245,-32.82502972,0.12,2,6,15,7.25
"h113",151.3166245,-32.82502972,0.3,2,6,57,6.44
"h113",151.3166245,-32.82502972,0.56,2,6,NA,6.44
"h114",151.3166374,-32.82434445,0.05,2,6,34,5.95
"h114",151.3166374,-32.82434445,0.13,2,6,34,6.31
"h114",151.3166374,-32.82434445,0.33,2,6,45,5.78
"h114",151.3166374,-32.82434445,0.7,2,6,49,5.78
"h115",151.3164653,-32.82384608,0.05,2,6,34,5.96
"h115",151.3164653,-32.82384608,0.16,2,6,45,6.96
"h115",151.3164653,-32.82384608,0.48,2,6,45,5.95
"h115",151.3164653,-32.82384608,0.88,2,6,57,5.86
"h116",151.3166907,-32.82321779,0.05,2,6,21,5.92
"h116",151.3166907,-32.82321779,0.16,2,6,21,6.73
"h116",151.3166907,-32.82321779,0.49,2,6,NA,5.82
"h116",151.3166907,-32.82321779,0.89,2,6,34,5.86
"h117",151.3162704,-32.82228317,0.23,2,6,32,6.03
"h117",151.3162704,-32.82228317,0.63,2,6,49,6.38
"h118",151.3159473,-32.82072755,0.03,2,6,24,8.23
"h118",151.3159473,-32.82072755,0.13,2,6,21,7.96
"h118",151.3159473,-32.82072755,0.4,2,6,57,7.86
"h118",151.3159473,-32.82072755,0.7,2,6,57,7.38
"h119",151.3154245,-32.81956608,0.05,2,6,34,8.93
"h119",151.3154245,-32.81956608,0.17,2,6,45,9.04
"h119",151.3154245,-32.81956608,0.47,2,6,57,8.56
"h119",151.3154245,-32.81956608,0.76,2,6,49,8.18
"h119",151.3154245,-32.81956608,0.86,2,6,49,7.91
"h119",151.3154245,-32.81956608,0.95,2,6,49,7.89
"h120",151.2937277,-32.82476473,0.03,2,6,21,5.93
"h120",151.2937277,-32.82476473,0.16,2,6,40,6.1
"h120",151.2937277,-32.82476473,0.38,2,6,45,6.7
"h120",151.2937277,-32.82476473,0.65,2,6,45,5.95
